cid,title,body,summary,language,cdate,mdate,uid,status,weight,key_id,type,product_type,collection,craft,gift,url_key,thumbnail
20341,DA TIAN DI <br/> DESK (ZITAN),"The SHANG XIA Da Tian Di collection draws inspiration from the rare and perfectly constructed Ming Dynasty “trestle desk”, to create an elegant and light desk in rich Zitan. As with all of the Da Tian Di collection, this desk is in the style of traditional Ming furniture, but it subverts the Ming concept of the round exterior/square centre to a square exterior and round interior. The result is a more modern line, revealing the deep craft that goes into its construction. The desk top is the same width as the supporting trestles, in the traditional frame-and-panel style, with a small seam between the frame and panel to allow the natural wood to breathe. This seam will subtly change with the humidity and climate, as if the desk were alive. The desk top rests lightly on the trestle supports which have drawers for stationery and documents. Zitan, precious and solid, has been polished by hand to a silken, glossy luster. Every step in the construction process must be performed with delicate precision. The process of construction, from the handling of the sandalwood timber through to the joinery and polishing, requires at least five months for every desk. The Da Tian Di desk should ideally be placed in front of a window. Pen and ink; fields and forests in front of you. Nature inspires; the images flow from your brush.",,en,2014-09-09 23:40:10,2014-09-22 21:37:29,,1,146,,product,3,20330,20316,1,da-tian-di-desk-zitan-,http://http://sxhtml.local/./upload/a09dd1a150779d725fbb548beee99a64.jpg
20346,BRIDGE,"Entertaining at home provides a relaxed environment bringing people together around the heart of tea and the home. Whether the tea pot, the tea set or the set of vases are cosseted in bamboo weaving or purely in ceramic, the collection through the shape of its traditional “bridge” handles connects each of us to the warmth of hospitality and friends. The bamboo, is expertly shaved into strands of less than 0.5 mm and woven around the ceramic ware.
The gong fu tea set, a set of mini tea cups to inhale the fragrance of tea and savor the flavor of tea, is fired in fine porcelain, each piece carefully glazed in translucent white.
The general tea set and trio of vases, are each expertly finished with hand carved thin bamboo strips woven in mesh. It takes days to completely weave one teapot. The woven bamboo also helps to ensure the tea remains warm.",,en,2014-09-09 23:40:10,2014-09-22 21:37:29,,1,146,,product,5,20330,20315,0,bridge-2,http://http://sxhtml.local/./upload/f47e022be7ab62d0fb4bd1b1c01cb04b.jpg
20351,JUN ZI - MAHJONG,"Mahjong is a traditional Chinese game. The SHANG XIA Jun Zi collection is inspired by traditional Chinese carry boxes. Nestled on five levels, the Jun Zi mahjong case contains 4 boxes of mahjong tiles and racks, a box of chips, chip holder and dice. With your choice of tiles in precious Indian sandalwood and Zitan, marked with geometric abstraction pattern, your every game will be infused with a gentle, natural, elegant aroma. Time and space seem to be manipulated at the fingertips of the players. Over 2,000 hours of craft have gone into making each mahjong set.",,en,2014-09-09 23:40:11,2014-09-22 21:37:29,,1,146,,product,4,20330,0,1,jun-zi-mahjong,http://http://sxhtml.local/./upload/ef6f06e88cfc1dc2ef6c398d505505f1.jpg
20357,JIN YI,"The Jin Yi collection is inspired by traditional Chinese winter wear, the cotton coat. SHANG XIA replaces traditional cotton wadding with silk to keep out the cold and enhance softness. Every coat is lined with superior pure silk and with our characteristic attention to detail we have matched the lining and exterior colours perfectly. The ladies' coats are reversible, to match any outfit. Arrow-straight seams are sewn by the long-experienced hands of seamstresses who work with love and concentration to ensure not even the slightest deviation. As always, it is the detail that brings the design alive, with motifs embroidered by hand into the side pockets. Jin Yi coats are available in three colours, to suit every personality and every mood. Elegantly and softly, Jin Yi will keep you warm throughout the winter.",,en,2014-09-09 23:40:12,2014-09-22 21:37:29,,1,146,,product,1,20330,0,1,jin-yi,http://http://sxhtml.local/./upload/3ac0108339dff9ba4bf33a4cd4bb69f3.jpg
20366,DRAGON CLOUD,"The dragon represents the traditional spirit of China. Imperial splendour finds its modern expression in the SHANG XIA Dragon Cloud series. The scale pattern is inspired by the traditional dragon-scale motif, and those soaring mythical beasts animate its form and design. Their fierce majesty promises good fortune. Dragon Cloud jewellery develops traditional motifs into modern designs. Using gold, silver and enamel, our designers have created necklaces, bracelets and cuff links which breathe new life into the ancient dragon scale pattern. Layer upon shimmering layer of scales, light and translucent, weighty and lifelike. Wear them, and feel the verve of the dragon's jaunty stride.",,en,2014-09-09 23:40:13,2014-09-22 21:37:29,,1,146,,product,2,20330,0,1,dragon-cloud,http://http://sxhtml.local/./upload/1a3f13b16fa3c926e4c7e749e061db18.jpg
20370,DA TIAN DI  LACQUER,"The collection embodies the concept of heaven and earth, where the original concept of rounded exterior lines and straight interior lines is now transformed to exterior lines that tare straight and upright shielding one from the soft round curves of the interior lines. 

Each piece is constructed from solid wood and lacquered multiple times to create a soft glow. 

The Da Tian Di collection is based on traditional Ming furniture construction principles, where each piece, is deftly hand crafted by a craftsman. 

Each piece of furniture is ergonomically designed. The wood is also treated to prevent warping and distortion.",,en,2014-09-09 23:40:14,2014-09-22 21:37:29,,1,146,,product,3,20333,0,1,da-tian-di-lacquer,http://http://sxhtml.local/./upload/6f1251b5a5373f3784c204a1ca07a2f8.jpg
20373,BRIDGE,"Entertaining at home provides a relaxed environment bringing people together around the heart of tea and the home. Whether the tea pot, the tea set or the set of vases are cosseted in bamboo weaving or purely in ceramic, the collection through the shape of its traditional bridge-shaped handles connects each of us to the warmth of hospitality and friends. The bamboo, is expertly shaved into strands of less than 0.5 mm and woven around the ceramic ware.

The gong fu tea set, a set of mini tea cups to inhale the fragrance of tea and savor the flavor of tea, is fired in fine porcelain, each piece carefully glazed in translucent white. 

The silver-plated tea set and trio of vases, are each expertly plated with silver and finished with hand carved thin bamboo strips woven in mesh. It takes days to completely weave one teapot. The bamboo weave also helps to ensure the tea remains warm.",,en,2014-09-09 23:40:14,2014-09-22 21:37:29,,1,146,,product,5,20333,20315,0,bridge-1,http://http://sxhtml.local/./upload/4cfca09d66ce83776021b4e440fa8d3e.jpg
20380,ECHO,"The Echo series resonates and reverberates with pure sound. Made from the finest eggshell porcelain, the bowls sound the echo of the excellence of craftsmanship in China. Each bowl is a treasure to behold and cherish. 

The exceptionally large bowls, in 2 sizes, are expertly crafted from fine kaolin clay to less than 0.5 mm thick, and fired at 1200 C. Covered in a delicate glaze revealing the thin walls of this work of art, it is truly rare to have a kiln that fires to perfection such large and unique bowls . A family-held secret, it can take up to 2 months to create one perfect bowl. 

The translucent series of 5 nested bowls are sheer elegance, glazed in pure white, pale blue, pale green, lavender, or rose beige. They are objects of appreciation. ",,en,2014-09-09 23:40:15,2014-09-22 21:37:29,,1,146,,product,4,20333,20317,1,echo,http://http://sxhtml.local/./upload/3e212e0eec0ef34e4dfcbe5faff92897.jpg
20391,ARCHITECTURE,"The Mongolian cashmere is hand pulled in Nepal and then hand woven into fabric. 

A traditional wooden loom is worked by hand, each warp thread is inserted into the loom, one by one. As it is hand woven, each fabric is unique and integrates natural inclusions into the fabric. 

The work is delicate and very time consuming and hence production is limited. Inspired by Han dynasty garments, this Architecture collection brings contemporary flair to traditional beauty. The fabric can be worn as a shawl, as an outer garment or as one prefers to express a different type of Chinese elegance and style.",,en,2014-09-09 23:40:17,2014-09-22 21:37:29,,1,146,,product,1,20333,0,0,architecture,http://http://sxhtml.local/./upload/a66cf95b1ce30175bba07192db502a38.jpg
20399,DRAGON PEARL,"Since ancient times in China, the dragon chasing a “flaming pearl” has been a symbol of imperial power and authority. Inspired from this long tradition, the SHANG XIA Dragon Pearl collection of earrings, necklaces, pendants and bracelets integrates the concept of “up” and “down” with the pearl, continually running forward, perpetually evolving.",,en,2014-09-09 23:40:18,2014-09-22 21:37:29,,1,146,,product,2,20333,0,1,dragon-pearl,http://http://sxhtml.local/./upload/ac64a6929626200d30d474a9f5a090d9.jpg
