cid,title,body,summary,language,cdate,mdate,uid,status,weight,key_id,type,product_type,collection,craft,gift,url_key,thumbnail
20966,ARCHITECTURE," La collection « Architecture » de SHANG XIA est élaborée à partir d'un cachemire mongol, filé et tissé à la main dans les régions reculées du Népal, pour un rendu rustique et plein de vie. Le moindre fil de l'étoffe est unique, participant du caractère et de l’émotion propres à chaque vêtement. D’inspiration Han (206 av. J.-C.-220 apr. J.-C.), « Architecture » allie esprit contemporain et esthétique traditionnelle. Chaque pièce peut être portée comme châle, vêtement d’extérieur, selon vos envies, exprimant l’élégance et le style à la chinoise.",,fr,2014-09-22 18:59:32,2014-09-22 19:03:50,,1,146,,product,1,20776,,,architecture-1,http://http://sxhtml.local/./upload/heritage_emotion_Architecture.jpg
20959,Totem,"Le bambou, plante élégante, occupe une place particulière dans le cœur des Chinois. Depuis la nuit des temps, il est apprécié, cultivé, voire peint par les lettrés. Il représente aussi un totem spirituel. Ce végétal fait partie intégrante de la vie d’aujourd’hui, et sert de matériau principal dans le confection de divers accessoires du quotidien.

La collection « Totem » lui rend hommage à travers ses foulards carrés représentant le bambou sous différentes formes. Réalisés à partir de deux matières nobles, la soie et le cachemire, ces pièces ont une texture douce et légère, pour une élégance épurée.",,fr,2014-09-22 18:59:31,2014-09-22 23:55:30,,1,145,,product,1,20776,,,bamboo-knot,http://http://sxhtml.local/./upload/Heritage_emotion_Bamboo_Knot_1.jpg
20960,Totem,"Le bambou, plante élégante, occupe une place particulière dans le cœur des Chinois. Depuis la nuit des temps, il est apprécié, cultivé, voire peint par les lettrés. Il représente aussi un totem spirituel. Ce végétal fait partie intégrante de la vie d’aujourd’hui, et sert de matériau principal dans le confection de divers accessoires du quotidien.

La collection « Totem » lui rend hommage à travers ses foulards carrés représentant le bambou sous différentes formes. Réalisés à partir de deux matières nobles, la soie et le cachemire, ces pièces ont une texture douce et légère, pour une élégance épurée.",,fr,2014-09-22 18:59:31,2014-09-22 23:55:39,,1,29,,product,1,20776,,,bamboo-knot-2,http://http://sxhtml.local/./upload/Heritage_emotion_Bamboo_Knot_2.jpg
20961,Totem,"Le bambou, plante élégante, occupe une place particulière dans le cœur des Chinois. Depuis la nuit des temps, il est apprécié, cultivé, voire peint par les lettrés. Il représente aussi un totem spirituel. Ce végétal fait partie intégrante de la vie d’aujourd’hui, et sert de matériau principal dans le confection de divers accessoires du quotidien.

La collection « Totem » lui rend hommage à travers ses foulards carrés représentant le bambou sous différentes formes. Réalisés à partir de deux matières nobles, la soie et le cachemire, ces pièces ont une texture douce et légère, pour une élégance épurée.",,fr,2014-09-22 18:59:31,2014-09-22 23:55:39,,1,28,,product,1,20776,,,bamboo-knot-3,http://http://sxhtml.local/./upload/Heritage_emotion_Bamboo_Knot_3.jpg
20962,Totem,"Le bambou, plante élégante, occupe une place particulière dans le cœur des Chinois. Depuis la nuit des temps, il est apprécié, cultivé, voire peint par les lettrés. Il représente aussi un totem spirituel. Ce végétal fait partie intégrante de la vie d’aujourd’hui, et sert de matériau principal dans le confection de divers accessoires du quotidien.

La collection « Totem » lui rend hommage à travers ses foulards carrés représentant le bambou sous différentes formes. Réalisés à partir de deux matières nobles, la soie et le cachemire, ces pièces ont une texture douce et légère, pour une élégance épurée.",,fr,2014-09-22 18:59:32,2014-09-22 23:55:40,,1,27,,product,1,20776,,,bamboo-knot-4,http://http://sxhtml.local/./upload/Heritage_emotion_Bamboo_Knot_4.jpg
20963,Totem,"Le bambou, plante élégante, occupe une place particulière dans le cœur des Chinois. Depuis la nuit des temps, il est apprécié, cultivé, voire peint par les lettrés. Il représente aussi un totem spirituel. Ce végétal fait partie intégrante de la vie d’aujourd’hui, et sert de matériau principal dans le confection de divers accessoires du quotidien.

La collection « Totem » lui rend hommage à travers ses foulards carrés représentant le bambou sous différentes formes. Réalisés à partir de deux matières nobles, la soie et le cachemire, ces pièces ont une texture douce et légère, pour une élégance épurée.",,fr,2014-09-22 18:59:32,2014-09-22 23:55:40,,1,26,,product,1,20776,,,bamboo-knot-5,http://http://sxhtml.local/./upload/Heritage_emotion_Bamboo_Knot_5.jpg
20964,Totem,"Le bambou, plante élégante, occupe une place particulière dans le cœur des Chinois. Depuis la nuit des temps, il est apprécié, cultivé, voire peint par les lettrés. Il représente aussi un totem spirituel. Ce végétal fait partie intégrante de la vie d’aujourd’hui, et sert de matériau principal dans le confection de divers accessoires du quotidien.

La collection « Totem » lui rend hommage à travers ses foulards carrés représentant le bambou sous différentes formes. Réalisés à partir de deux matières nobles, la soie et le cachemire, ces pièces ont une texture douce et légère, pour une élégance épurée.",,fr,2014-09-22 18:59:32,2014-09-22 23:55:40,,1,25,,product,1,20776,,,bamboo-knot-6,http://http://sxhtml.local/./upload/Heritage_emotion_Bamboo_Knot_6.jpg
20967,Éclosion – cachemire,"Provenant de Mongolie, filé au Népal, le cachemire de la collection « Éclosion » naît d’une pratique du tissage très particulière travaillant le fil en torsion. La fibre du vêtement issu de cette technique ancestrale possède un aspect à la fois naturel et légèrement tendu.

La robe taillée dans cette matière est ainsi cintrée en même temps que floue, tel le bourgeon qui éclot. Elle se décline en six teintes vives, évoquant autant d’humeurs joyeuses, qui ne vous laissent que l'embarras du choix.",,fr,2014-09-22 18:59:32,2014-09-22 19:03:50,,1,144,,product,1,20776,,,blossom-1,http://http://sxhtml.local/./upload/heritage_emotion_Blossom.jpg
20810,Bridge,,,fr,2014-09-19 13:53:22,2014-09-22 23:55:28,,1,146,,product,5,20773,20779,,bridge-1,http://http://sxhtml.local/./upload/teaware/1.jpg
20988,Qiao,"Les pièces de ce service à thé sont agrémentées d’anses dont la forme évoque un pont. Cet élément décoratif et fonctionnel symbolise, à l’heure de la dégustation du thé, le lien qui unit famille et amis.

La collection « Qiao » propose un service permettant de préparer le thé suivant la méthode du « Gong Fu Cha ».

L’extrême finesse de la porcelaine blanche liée à son mode de cuisson est mise en lumière par son opposition au bambou. Lequel est savamment taillé en brins de moins de 0,5 mm d’épaisseur pour envelopper partiellement le corps de chaque pièce. Isolant, mais surtout élégant et raffiné, un tel tressage apporte une délicatesse unique à ce service.

La pièce la plus emblématique, la théière, nécessite à elle seule dix jours de travail.",,fr,2014-09-22 18:59:33,2014-09-22 23:55:28,,1,146,,product,5,20775,20779,,bridge-2,http://http://sxhtml.local/./upload/human_nature_Bridge.jpg
20952,Qiao,"Les pièces de ce service à thé sont agrémentées d’anses dont la forme évoque un pont. Cet élément décoratif et fonctionnel symbolise, à l’heure de la dégustation du thé, le lien qui unit famille et amis.

La collection « Qiao » propose un service permettant de préparer le thé suivant la méthode du « Gong Fu Cha ».

L’extrême finesse de la porcelaine blanche liée à son mode de cuisson est mise en lumière par son opposition au bambou. Lequel est savamment taillé en brins de moins de 0,5 mm d’épaisseur pour envelopper partiellement le corps de chaque pièce. Isolant, mais surtout élégant et raffiné, un tel tressage apporte une délicatesse unique à ce service.

La pièce la plus emblématique, la théière, nécessite à elle seule dix jours de travail.",,fr,2014-09-22 18:59:31,2014-09-22 19:03:50,,1,146,,product,5,20776,20779,,bridge-2-1,http://http://sxhtml.local/./upload/Heritage_emotion_Bridge_2.jpg
